iter	Passed	Remaining
0	60	60911
1	61	30715
2	61	20575
3	62	15511
4	62	12504
5	63	10476
6	63	9017
7	63	7922
8	64	7076
9	64	6393
10	64	5839
11	65	5377
12	65	4982
13	66	4651
14	66	4356
15	66	4100
16	66	3873
17	67	3673
18	67	3494
19	68	3332
20	68	3185
21	68	3054
22	69	2938
23	69	2829
24	69	2728
25	70	2637
26	70	2552
27	71	2468
28	71	2391
29	71	2319
30	72	2251
31	72	2189
32	72	2131
33	73	2079
34	73	2029
35	73	1979
36	74	1932
37	74	1889
38	74	1846
39	75	1804
40	75	1768
41	75	1732
42	76	1698
43	76	1669
44	77	1641
45	77	1614
46	78	1587
47	78	1560
48	79	1537
49	79	1511
50	79	1487
51	80	1463
52	80	1439
53	80	1417
54	81	1395
55	81	1375
56	82	1357
57	82	1340
58	82	1323
59	83	1307
60	83	1291
61	84	1275
62	84	1261
63	85	1245
64	85	1229
65	85	1214
66	86	1199
67	86	1184
68	86	1171
69	87	1159
70	87	1146
71	87	1133
72	88	1121
73	88	1109
74	89	1099
75	89	1090
76	90	1079
77	90	1068
78	90	1057
79	91	1049
80	91	1042
81	92	1034
82	92	1023
83	92	1013
84	93	1003
85	93	994
86	93	985
87	94	977
88	94	968
89	95	960
90	95	952
91	95	944
92	96	937
93	96	929
94	96	921
95	97	915
96	97	908
97	97	901
98	98	893
99	98	886
100	98	879
101	99	873
102	99	866
103	99	861
104	100	855
105	100	850
106	101	845
107	101	839
108	102	834
109	102	828
110	102	822
111	103	817
112	103	811
113	103	807
114	104	802
115	104	797
116	104	791
117	105	786
118	105	781
119	105	777
120	106	772
121	106	767
122	107	763
123	107	759
124	107	755
125	108	752
126	108	748
127	109	746
128	109	742
129	110	738
130	110	734
131	111	730
132	111	725
133	111	722
134	112	719
135	112	715
136	112	711
137	113	708
138	113	703
139	114	700
140	114	696
141	114	692
142	114	688
143	115	684
144	115	681
145	116	679
146	116	676
147	117	673
148	117	670
149	117	667
150	118	664
151	118	661
152	118	658
153	119	655
154	119	651
155	119	649
156	120	646
157	120	643
158	121	641
159	121	638
160	121	635
161	122	632
162	122	629
163	123	627
164	123	625
165	123	622
166	124	619
167	124	616
168	124	614
169	125	610
170	125	608
171	125	606
172	126	604
173	126	602
174	127	599
175	127	597
176	127	595
177	128	592
178	128	589
179	128	587
180	129	584
181	129	581
182	129	579
183	130	576
184	130	573
185	130	571
186	130	568
187	131	566
188	131	563
189	131	561
190	131	558
191	132	556
192	132	553
193	132	551
194	133	549
195	133	546
196	133	544
197	133	542
198	134	540
199	134	537
200	134	535
201	135	533
202	135	531
203	135	530
204	136	528
205	136	526
206	136	524
207	137	522
208	137	520
209	137	518
210	138	516
211	138	514
212	138	512
213	138	510
214	139	508
215	139	507
216	140	505
217	140	503
218	140	501
219	140	499
220	141	498
221	141	496
222	141	494
223	142	492
224	142	491
225	142	489
226	143	487
227	143	485
228	143	484
229	144	482
230	144	480
231	144	479
232	145	478
233	145	476
234	145	474
235	146	472
236	146	471
237	146	469
238	146	467
239	147	466
240	147	465
241	148	464
242	148	463
243	149	461
244	149	460
245	149	459
246	150	458
247	150	456
248	150	455
249	151	453
250	151	452
251	151	451
252	152	449
253	152	448
254	153	447
255	153	446
256	153	444
257	154	443
258	154	441
259	154	440
260	155	438
261	155	437
262	155	436
263	155	434
264	156	433
265	156	431
266	156	430
267	157	429
268	157	427
269	157	426
270	157	424
271	158	423
272	158	421
273	158	420
274	158	419
275	159	417
276	159	416
277	159	414
278	159	413
279	160	412
280	160	410
281	160	409
282	161	407
283	161	406
284	161	405
285	161	403
286	162	402
287	162	401
288	162	399
289	162	398
290	163	397
291	163	396
292	163	394
293	163	393
294	164	392
295	164	391
296	164	389
297	165	388
298	165	387
299	165	386
300	165	385
301	166	384
302	166	383
303	166	382
304	167	381
305	167	379
306	167	378
307	168	377
308	168	376
309	168	375
310	169	374
311	169	373
312	169	372
313	170	371
314	170	370
315	170	369
316	170	367
317	171	366
318	171	365
319	171	364
320	171	363
321	172	362
322	172	361
323	172	360
324	172	359
325	173	357
326	173	356
327	173	355
328	173	354
329	174	353
330	174	352
331	174	351
332	175	350
333	175	349
334	175	348
335	175	347
336	176	346
337	176	345
338	176	344
339	177	343
340	177	342
341	177	341
342	177	340
343	178	339
344	178	338
345	178	338
346	179	337
347	179	336
348	179	335
349	180	334
350	180	333
351	181	333
352	181	332
353	181	331
354	182	330
355	182	330
356	182	329
357	183	328
358	183	327
359	184	327
360	184	326
361	184	325
362	185	324
363	185	324
364	185	323
365	186	322
366	186	321
367	186	320
368	187	319
369	187	319
370	187	318
371	188	317
372	188	317
373	188	316
374	189	315
375	189	314
376	189	313
377	190	312
378	190	312
379	190	311
380	191	310
381	191	309
382	191	308
383	192	308
384	192	307
385	192	306
386	193	306
387	193	305
388	193	304
389	194	303
390	194	303
391	195	302
392	195	301
393	195	301
394	196	300
395	196	300
396	197	299
397	197	298
398	197	297
399	198	297
400	198	296
401	198	295
402	199	295
403	199	294
404	200	294
405	200	293
406	200	292
407	201	292
408	201	291
409	202	290
410	202	290
411	202	289
412	203	288
413	203	287
414	203	287
415	204	286
416	204	285
417	204	285
418	205	284
419	205	283
420	205	283
421	206	282
422	206	281
423	206	280
424	206	279
425	207	279
426	207	278
427	207	277
428	207	276
429	208	275
430	208	275
431	208	274
432	208	273
433	209	272
434	209	272
435	209	271
436	209	270
437	210	269
438	210	268
439	210	268
440	211	267
441	211	267
442	212	266
443	212	265
444	212	265
445	213	264
446	213	264
447	214	263
448	214	263
449	215	263
450	215	262
451	216	262
452	216	261
453	217	261
454	217	260
455	218	260
456	218	259
457	219	259
458	219	259
459	220	258
460	220	257
461	220	257
462	221	256
463	221	255
464	221	255
465	221	254
466	222	253
467	230	262
468	241	273
469	242	273
470	242	272
471	243	271
472	243	271
473	243	270
474	243	269
475	244	268
476	244	268
477	244	267
478	245	266
479	245	265
480	245	264
481	245	264
482	246	263
483	246	262
484	246	262
485	247	261
486	247	260
487	247	260
488	248	259
489	248	258
490	248	257
491	249	257
492	249	256
493	249	255
494	249	254
495	250	254
496	250	253
497	250	252
498	251	252
499	251	251
500	251	250
501	251	249
502	252	249
503	252	248
504	252	247
505	253	247
506	253	246
507	253	245
508	253	244
509	254	244
510	254	243
511	254	242
512	255	242
513	256	242
514	256	241
515	256	240
516	259	242
517	259	241
518	260	241
519	260	240
520	260	239
521	261	239
522	261	238
523	263	238
524	263	238
525	263	237
526	264	236
527	264	236
528	264	235
529	264	234
530	265	234
531	266	234
532	267	234
533	267	233
534	267	232
535	268	232
536	268	231
537	268	230
538	269	230
539	269	229
540	269	229
541	270	228
542	270	227
543	270	227
544	271	226
545	271	225
546	271	225
547	272	224
548	272	223
549	272	223
550	273	222
551	273	221
552	273	221
553	274	221
554	274	220
555	275	219
556	275	218
557	275	218
558	275	217
559	276	216
560	276	216
561	276	215
562	276	214
563	277	214
564	277	213
565	277	213
566	278	212
567	278	211
568	278	211
569	278	210
570	279	209
571	279	209
572	279	208
573	280	207
574	280	207
575	281	207
576	281	206
577	282	205
578	282	205
579	282	204
580	285	205
581	285	205
582	286	205
583	287	204
584	287	203
585	287	203
586	288	202
587	288	202
588	288	201
589	289	201
590	289	200
591	289	199
592	290	199
593	290	198
594	290	197
595	291	197
596	291	197
597	292	196
598	292	195
599	293	195
600	293	194
601	293	194
602	294	193
603	295	193
604	295	193
605	296	192
606	296	192
607	297	191
608	297	191
609	297	190
610	298	189
611	298	189
612	299	188
613	299	188
614	300	187
615	300	187
616	301	186
617	301	186
618	301	185
619	302	185
620	302	184
621	302	184
622	303	183
623	303	182
624	304	182
625	304	181
626	304	181
627	305	180
628	305	180
629	306	179
630	306	179
631	307	178
632	307	178
633	308	177
634	308	177
635	308	176
636	309	176
637	309	175
638	310	175
639	310	174
640	310	174
641	311	173
642	311	173
643	312	172
644	312	172
645	313	171
646	313	171
647	314	170
648	314	170
649	314	169
650	315	168
651	315	168
652	315	167
653	316	167
654	316	166
655	316	166
656	317	165
657	317	165
658	317	164
659	318	163
660	318	163
661	318	162
662	319	162
663	319	161
664	319	161
665	320	160
666	320	159
667	320	159
668	321	158
669	321	158
670	321	157
671	322	157
672	322	156
673	323	156
674	323	155
675	324	155
676	324	154
677	324	154
678	325	153
679	325	153
680	326	152
681	326	152
682	326	151
683	327	151
684	327	150
685	327	150
686	328	149
687	328	149
688	329	148
689	329	148
690	329	147
691	330	147
692	330	146
693	331	145
694	331	145
695	332	145
696	332	144
697	332	143
698	333	143
699	333	142
700	333	142
701	334	141
702	334	141
703	334	140
704	335	140
705	335	139
706	335	139
707	336	138
708	336	138
709	336	137
710	337	137
711	337	136
712	337	135
713	338	135
714	338	135
715	339	134
716	339	134
717	340	133
718	340	133
719	341	132
720	341	132
721	341	131
722	342	131
723	342	130
724	342	130
725	343	129
726	343	128
727	343	128
728	344	127
729	344	127
730	344	126
731	344	126
732	345	125
733	345	125
734	345	124
735	346	124
736	346	123
737	346	123
738	347	122
739	347	122
740	347	121
741	348	121
742	348	120
743	348	120
744	349	119
745	349	119
746	349	118
747	350	117
748	350	117
749	350	116
750	351	116
751	351	115
752	351	115
753	352	114
754	352	114
755	352	113
756	353	113
757	353	112
758	354	112
759	355	112
760	355	111
761	356	111
762	356	110
763	356	110
764	357	109
765	357	109
766	358	108
767	358	108
768	358	107
769	359	107
770	359	106
771	359	106
772	360	105
773	360	105
774	361	104
775	361	104
776	361	103
777	362	103
778	362	102
779	362	102
780	363	101
781	363	101
782	364	100
783	364	100
784	364	99
785	365	99
786	365	98
787	365	98
788	366	97
789	366	97
790	366	96
791	367	96
792	367	95
793	367	95
794	368	94
795	368	94
796	368	93
797	369	93
798	369	92
799	369	92
800	370	91
801	370	91
802	370	91
803	371	90
804	371	90
805	372	89
806	372	89
807	372	88
808	373	88
809	373	87
810	373	87
811	374	86
812	374	86
813	374	85
814	375	85
815	375	84
816	376	84
817	376	83
818	376	83
819	377	82
820	377	82
821	377	81
822	378	81
823	378	80
824	378	80
825	379	79
826	379	79
827	379	78
828	380	78
829	380	77
830	380	77
831	381	76
832	381	76
833	381	76
834	382	75
835	382	75
836	382	74
837	383	74
838	383	73
839	384	73
840	384	72
841	384	72
842	385	71
843	386	71
844	386	70
845	386	70
846	387	69
847	387	69
848	387	68
849	388	68
850	388	68
851	389	67
852	389	67
853	389	66
854	390	66
855	390	65
856	390	65
857	391	64
858	391	64
859	391	63
860	392	63
861	392	62
862	392	62
863	393	61
864	393	61
865	393	60
866	394	60
867	394	60
868	395	59
869	395	59
870	395	58
871	396	58
872	396	57
873	396	57
874	397	56
875	397	56
876	397	55
877	398	55
878	398	54
879	398	54
880	398	53
881	399	53
882	399	52
883	399	52
884	400	52
885	400	51
886	400	51
887	401	50
888	401	50
889	401	49
890	402	49
891	402	48
892	402	48
893	403	47
894	403	47
895	403	46
896	404	46
897	404	45
898	404	45
899	404	44
900	405	44
901	405	44
902	405	43
903	405	43
904	406	42
905	406	42
906	406	41
907	407	41
908	407	40
909	407	40
910	408	39
911	408	39
912	408	38
913	409	38
914	409	38
915	409	37
916	410	37
917	410	36
918	410	36
919	411	35
920	411	35
921	411	34
